customer_unique_id,total_orders,total_spend,avg_order_value,avg_payment_installments,avg_review_score,category_diversity,recency_days,most_common_category,customer_city,customer_state,review_comment_message,total_orders_winsor,total_spend_winsor,avg_order_value_winsor,cluster
000fbf0473c10fc1ab6f8d2d286ce20c,1,1449.52,362.38,1.0,5.0,2,34,musical_instruments,indaiatuba,SP,Muito bom,1,410.84875,345.73,2
001926cef41060fae572e2e7b30bd2a4,1,182.42,91.21,1.0,4.0,2,377,computers_accessories,nova canaa do norte,MT,Muito bom,1,182.42,91.21,2
001928b561575b2821c92254a2327d06,1,329.62,164.81,6.0,2.0,2,4,bed_bath_table,sao paulo,SP,Não recebi a capa De sofá. Estou aguardando e não estou informada de quando virá | Não recebi a capa De sofá. Estou aguardando e não estou informada de quando virá,1,329.62,164.81,2
004288347e5e88a27ded2bb23747066c,2,354.37,177.185,2.0,5.0,2,227,cool_stuff,nova iguacu,RJ,"Amei a bolsa,ótima qualidade e lindas.  | Maravilhoso,amei e chegou antes do prazo !",1,354.37,177.185,2
0097fca0db567f5ca79509b7b4fc1c2d,1,1593.41,227.63,10.0,1.0,2,132,furniture_decor,sao paulo,SP,"Mais um vez veio faltando o item Kit Flor Artificial Orquídea Chuva De Ouro 10 Unidades 	Vendido e entregue por targaryen 	Qtd 1 
 | Mais um vez veio faltando o item Kit Flor Artificial Orquídea Chuva De Ouro 10 Unidades 	Vendido e entregue por targaryen 	Qtd 1 
 | Mais um vez veio faltando o item Kit Flor Artificial Orquídea Chuva De Ouro 10 Unidades 	Vendido e entregue por targaryen 	Qtd 1 
 | Mais um vez veio faltando o item Kit Flor Artificial Orquídea Chuva De Ouro 10 Unidades 	Vendido e entregue por targaryen 	Qtd 1 
 | Mais um vez veio faltando o item Kit Flor Artificial Orquídea Chuva De Ouro 10 Unidades 	Vendido e entregue por targaryen 	Qtd 1 
 | Mais um vez veio faltando o item Kit Flor Artificial Orquídea Chuva De Ouro 10 Unidades 	Vendido e entregue por targaryen 	Qtd 1 
 | Mais um vez veio faltando o item Kit Flor Artificial Orquídea Chuva De Ouro 10 Unidades 	Vendido e entregue por targaryen 	Qtd 1 
",1,410.84875,227.63,2
00a39521eb40f7012db50455bf083460,2,123.25,61.625,1.0,4.0,2,87,electronics,brasilia,DF,Muito bom,1,123.25,61.625,2
00ae50eb5e1d2514f694dee1dcbbd5ae,1,1380.5500000000002,276.11,4.0,1.0,2,110,furniture_decor,sao paulo,SP,Não recebi os buchinhos só veio a nota fiscal em um carta  | Não recebi os buchinhos só veio a nota fiscal em um carta  | Não recebi os buchinhos só veio a nota fiscal em um carta  | Não recebi os buchinhos só veio a nota fiscal em um carta  | Não recebi os buchinhos só veio a nota fiscal em um carta ,1,410.84875,276.11,2
00cc12a6d8b578b8ebd21ea4e2ae8b27,2,252.4,63.1,1.0,4.0,2,525,bed_bath_table,sao paulo,SP,"entregue no prazo conbinado
 | entregue no prazo conbinado
",1,252.4,63.1,2
00ec6ce865af3a65e9cca32b180e5d20,1,373.92,93.48,1.0,3.0,2,172,bed_bath_table,salvador,BA,Muito bom,1,373.92,93.48,2
00fd4a627a3b93cff0729f0b3554640d,1,678.9300000000001,226.31000000000003,1.0,3.0,2,25,garden_tools,itupeva,SP,"Comprei 3 produtos e só recebi um.
Não recebi nenhum contato da empresa para falar sobre a falta dos outros 2 produtos; se vou receber, ou não. | Comprei 3 produtos e só recebi um.
Não recebi nenhum contato da empresa para falar sobre a falta dos outros 2 produtos; se vou receber, ou não. | Comprei 3 produtos e só recebi um.
Não recebi nenhum contato da empresa para falar sobre a falta dos outros 2 produtos; se vou receber, ou não.",1,410.84875,226.31000000000003,2
011575986092c30523ecb71ff10cb473,2,214.9,107.45,1.5,3.5,2,132,musical_instruments,belo horizonte,MG,"Produto foi entregue no prazo previsto, ainda não foi testado para ser avaliado.",1,214.9,107.45,2
011b4adcd54683b480c4d841250a987f,2,386.18,128.72666666666666,8.0,4.333333333333333,2,195,food,santo amaro,BA,Muito bom,1,386.18,128.72666666666666,2
012452d40dafae4df401bced74cdb490,2,495.33,165.11,5.333333333333333,4.666666666666667,2,107,health_beauty,sao paulo,SP,Produto de qualidade muito boa. | Produto de qualidade muito boa.,1,410.84875,165.11,2
012b41c1dae00a092474ca48dc764a00,1,885.04,442.52,1.0,4.0,2,37,construction_tools_lights,paracatu,MG,Muito bom,1,410.84875,345.73,2
013ef03e0f3f408dd9bf555e4edcdc0a,2,245.37,122.685,2.0,5.0,2,40,musical_instruments,campinas,SP,produto chegou intacto | recebi o produto intacto,1,245.37,122.685,2
015557c9912277312b9073947804a7ba,2,315.12,157.56,2.0,5.0,2,485,bed_bath_table,sao joao da boa vista,SP,Muito bom,1,315.12,157.56,2
016c60628fc64e15fa5990e58a0b57c1,1,913.68,304.56,1.0,3.0,2,405,furniture_decor,boituva,SP,"Foi bom, obrigado. | Foi bom, obrigado. | Foi bom, obrigado.",1,410.84875,304.56,2
01e8bcc3377762cf85025138b2901947,1,443.28,221.64,3.0,1.0,2,496,bed_bath_table,montes claros,MG,Muito enrolados o produto que comprei no direto stark e bem maior e chegou com tres dias ja essa targaryen faz parcerias horriveis  | Muito enrolados o produto que comprei no direto stark e bem maior e chegou com tres dias ja essa targaryen faz parcerias horriveis ,1,410.84875,221.64,2
