customer_unique_id,total_orders,total_spend,avg_order_value,avg_payment_installments,avg_review_score,category_diversity,recency_days,most_common_category,customer_city,customer_state,review_comment_message
0000366f3b9a7992bf8c76cfdf3221e2,1,141.9,141.9,8.0,5.0,1,111,bed_bath_table,cajamar,SP,"Adorei a cortina, ficou linda na minha sala, e o tecido é lindo deixa a sala muito sofisticada. super recomendo"
0000b849f77a49e4a4ce2b2a4ca5be3f,1,27.19,27.19,1.0,4.0,1,114,health_beauty,osasco,SP,
0000f46a3911fa3c0805444483337064,1,86.22,86.22,8.0,3.0,1,536,stationery,sao jose,SC,
0000f6ccb0745a6a4b88665a16c9f078,1,43.62,43.62,4.0,4.0,1,320,telephony,belem,PA,Bom vendedor
0004aac84e0df4da2b147fca70cf8255,1,196.89,196.89,6.0,5.0,1,287,telephony,sorocaba,SP,
0004bd2a26a76fe21f786e4fbd80607f,1,166.98,166.98,8.0,4.0,1,145,garden_tools,sao paulo,SP,
00050ab1314c0e55a6ca13cf7181fecf,1,35.38,35.38,1.0,4.0,1,131,telephony,campinas,SP,
00053a61a98854899e70ed204dd4bafe,1,838.36,419.18,3.0,1.0,1,182,sports_leisure,curitiba,PR,"Olá! Comprei dois potes de whey e chegou apenas um! Não consigo rastrear o outro, pois os dois constam no mesmo número do pedido. E a nota fiscal emitida também consta como sendo dos dois produtos.  | Olá! Comprei dois potes de whey e chegou apenas um! Não consigo rastrear o outro, pois os dois constam no mesmo número do pedido. E a nota fiscal emitida também consta como sendo dos dois produtos. "
0005e1862207bf6ccc02e4228effd9a0,1,150.12,150.12,3.0,4.0,1,542,fashion_bags_accessories,teresopolis,RJ,
0005ef4cd20d2893f0d9fbd94d3c0d97,1,129.76,129.76,4.0,1.0,1,169,sports_leisure,sao luis,MA,Até o presente momento não recebi o produto e não entraram em contato comigo para dar alga satisfação e fazer o reembolso.
0006fdc98a402fceb4eb0ee528f6a8d4,1,29.0,29.0,2.0,3.0,1,407,bed_bath_table,mimoso do sul,ES,só achei que a altura da saia poderia ser maior
00082cbe03e478190aadbea78542e933,1,126.26,126.26,1.0,5.0,1,282,luggage_accessories,itapeva,SP,
00090324bbad0e9342388303bb71ba0a,1,63.66,63.66,3.0,5.0,1,158,bed_bath_table,campinas,SP,"É exatamente o que eu esperva,amei essa saia para cama excelente produto. "
000949456b182f53c18b68d6babc79c1,1,82.05,82.05,1.0,4.0,1,128,computers_accessories,sao bernardo do campo,SP,
000a5ad9c4601d2bbdd9ed765d5213b3,1,91.28,91.28,3.0,4.0,1,383,health_beauty,porto alegre,RS,
000bfa1d2f1a41876493be685390d6d3,1,93.7,46.85,4.0,4.5,1,334,fashion_bags_accessories,santos,SP,"Tem que retirar nos correios, muito incômodo"
000c8bdb58a29e7115cfc257230fb21b,1,29.0,29.0,2.0,5.0,1,259,bed_bath_table,belo horizonte,MG,Gostei do produto bem resistente aparentemente ainda não usei.
000d460961d6dbfa3ec6c9f5805769e1,1,36.68,36.68,1.0,5.0,1,233,telephony,sao paulo,SP,
