topic,rank,review_excerpt
0,1,Comprei dois cobertores e recebi apenas um | Comprei dois cobertores e recebi apenas um
0,2,comprei dois produtos iguais e recebi apenas um | comprei dois produtos iguais e recebi apenas um
0,3,Eu comprei duas unidades do mesmo produto é apenas uma delas foi entregue sendo que na nota fiscal está dizendo que foram os dois produtos entregue | Eu comprei duas unidades do mesmo produto é apenas uma delas foi entregue sendo que na nota fiscal está dizendo que foram os dois produtos entregue
1,1,a caixa do produto veio quebrada.
1,2,Embalagem e caixa do produto toda detereriorada
1,3,Apenas a caixa do produto veio avariada.
2,1,Sempre comprei na loja nunca tive problemas...
2,2,"Ainda não recebi meu produto, não sei porque? Sempre comprei nas Lojas lannister e entregaram no prazo. A Loja e terceirizada, mais comprei confiando nas Lojas lannister.Espero resposta."
2,3,Nunca mais vou comprar pelas lojas lannister | Nunca mais vou comprar pelas lojas lannister
3,1,"Comprei o produto na cor rosa e veio na cor preta. Gostei do produto, é ótimo, mas não veio na cor que eu comprei"
3,2,"Não recebi o produto e depois me falaram que meu vale de reembolso já estava disponível, mas era mentira, não liberaram nada. Esta loja só fica me enrolando. | Comprei a base dermacol cor 207, pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra. Ou o site esta most"
3,3,Comprei o produto com a cor laranja e veio com a cor amarela.
4,1,FIZ A COMPRA DE 3 CAIXAS E RECEBI APENAS 2 CAIXAS | FIZ A COMPRA DE 3 CAIXAS E RECEBI APENAS 2 CAIXAS | FIZ A COMPRA DE 3 CAIXAS E RECEBI APENAS 2 CAIXAS
4,2,"COMPREI 05 COPOS E RECEBI APENAS 01 COPO, POR FAVOR SOLICITO A ENTREGA DOS DEMAIS COPOS QUE FIZ A COMPRA E EFETUEI O PAGAMENTO | COMPREI 05 COPOS E RECEBI APENAS 01 COPO, POR FAVOR SOLICITO A ENTREGA DOS DEMAIS COPOS QUE FIZ A COMPRA E EFETUEI O PAGAMENTO | COMPREI 05 COPOS E RECEBI APENAS 01 COPO, "
4,3,"PEDIDO APROVADO DIA 06/10, POR DEMORA CANCELAMENTO DO PEDIDO NO DIA 17/10 E MESMO ASSIM MANDAM A MERCADORIA. ESTOU TENTANDO, DESDE O DIA 20/10 CONTATO VIA stark MAS NÃO OBTENHO RESPOSTA/RETORNO. | PEDIDO APROVADO DIA 06/10, POR DEMORA CANCELAMENTO DO PEDIDO NO DIA 17/10 E MESMO ASSIM MANDAM A MERCAD"
5,1,Não recebi o produto ainda
5,2,Eu não recebi o produto ainda
5,3,Ainda não recebi meu produto | Ainda não recebi meu produto
6,1,"O relógio e MUITO maior que parece, não acho que seja um relógio que também se adeque a mulher"
6,2,"comprei um relógio ,não entregaram no meu enderenço eu tive que pegar nos correios,a caixa do relógio estava aberta ,com o relógio fora da caixa bem desagradável ........não gostei .."
6,3,um relógio dese não compensa sem propósito
7,1,Quero o cancelamento.
7,2,Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito abusivo | Eu estou tentando cancelar faz tempo devido o valor do frete muito ab
7,3,Quero cancelar essa compra
8,1,Produto de baixa qualidade.
8,2,Péssima qualidade do produto
8,3,Produto com baixa qualidade. | Produto com baixa qualidade. | Produto com baixa qualidade. | Produto com baixa qualidade. | Produto com baixa qualidade.
9,1,Previsão para a entrega do produto até o dia 19/02. Hoje dia 21/02 ainda não recebi.
9,2,realizei a compra no dia 22/02/2017 com previsão de entrega até o dia 23/03/2017 e até agora não recebi o produto.Se eu ainda receber volto e falo algo mais | realizei a compra no dia 22/02/2017 com previsão de entrega até o dia 23/03/2017 e até agora não recebi o produto.Se eu ainda receber volto e
9,3,O prazo de entrega era dia 27/03/2018 hoje dia 29/03/2018 e ainda não recebi o produto!
10,1,não foi entregue em casa tive que buscar no correio
10,2,Tive que ir buscar no correio. Paguei frete p entregar na minha residência!
10,3,não recebi...paguei o frete p chegar em casa e nao pra eu ir no correio retirar ...
11,1,Paguei por um cabo e um carregador de celular. Porém recebi somente o carregador.
11,2,"Recebi o carregador, mas ele esta com defeito no cabo. Preciso que troque o cabo do carregador. Fiz vários testes e o defeito é no cabo. Como faço para efetuar a troca do cabo."
11,3,Comprei um cabo Apple carregador de bateria de celular e recebi um cabo USB de computador made in China sem sequer marca.
12,1,não gostei do produto
12,2,Não gostei do produto
12,3,Muito inferior este produto Não gostei
13,1,Não respeitou o prazo da entrega
13,2,Não cumpriu com o prazo de entrega
13,3,Não cumpriu o prazo de entrega.
14,1,nao recebi meu produto | nao recebi meu produto
14,2,nao recebi o produto | nao recebi o produto
14,3,Nao recebi o lustre de bola o quadro foi entregue. | Nao recebi o lustre de bola o quadro foi entregue. | Nao recebi o lustre de bola o quadro foi entregue. | Nao recebi o lustre de bola o quadro foi entregue. | Nao recebi o lustre de bola o quadro foi entregue. | Nao recebi o lustre de bola o quadr
15,1,O produto veio com defeito
15,2,O produto veio com defeito !
15,3,Esse produto veio com defeito
16,1,"Adquiri no site lannister os Cartuchos 933XL Cian e 932XL Preto, ambos originais HP nos descritivos, 03 unidades de cada cor. Recebi 2 pacotes, contendo 01(um) cartucho cian em cada e não originais. | Adquiri no site lannister os Cartuchos 933XL Cian e 932XL Preto, ambos originais HP nos descritivos"
16,2,tive problemas com o cartucho preto. Minha impressora exibe a mensagem de cartucho danificado ou não reconhecido.
